,corr_with_quality,corr_with_label,mean_diff_abs,rf_importance,lr_coef_abs
alcohol,0.4443185200076552,0.3904860126247372,1.1718977503547876,0.1598948762240779,0.7014370260717203
density,-0.30585790606942276,0.2754408297454135,0.002078290101621083,0.12020723143889823,0.8762664281158313
volatile acidity,-0.26569947761146673,0.15171382104758094,0.06284922756580469,0.0878840697475804,0.5525075759393481
chlorides,-0.2006655004351025,0.16178147898084935,0.014261405443193313,0.08647237530835702,0.21771001040666707
residual sugar,-0.03698048458576957,0.06399191653701572,0.7660910389232427,0.08225233476642498,0.8139333640851582
total sulfur dioxide,-0.04138545385560906,0.05122561135565436,7.285381431576042,0.08223529732091825,0.32719064281812693
sulphates,0.03848544587651377,0.0339708792724204,0.012719662943260768,0.08108569277433221,0.365005117800701
pH,0.019505703714432703,0.028148701652278004,0.01138829182380885,0.07967887997891422,0.37337649961045943
free sulfur dioxide,0.055463058616633,0.01476706375720892,0.6595178624470073,0.07618657901472853,0.22445838953847014
citric acid,0.08553171718367876,0.05444449168261779,0.019907727942345743,0.07617121740493236,0.04509544564663012
fixed acidity,-0.07674320790961932,0.049447329218391414,0.16130280200541858,0.06793144602083592,0.5506071102600778
